明文1：10001010100101111000100000001110 明文2：10001110100001111000110000011110
密文1：01010110101100110001100110100011 密文2:01000010111010010000110111010011
******************************************************************************
明文1：01000100010010101001010011101110 明文2：01000000010110101001000011110110
密文1：01111000011111101110010110000100 密文2:01101100000001101111000111111110
******************************************************************************
明文1：11000110010101110100101000011000 明文2：11000010010001110100111000001000
密文1：11011110111001000001111100101001 密文2:11001010101111100000101101010001
******************************************************************************
明文1：00011100011011000100111010000010 明文2：00011000011101000100101010010010
密文1：00111000111100010010011110100101 密文2:00101100101010010011001111111111
******************************************************************************
明文1：10100001101001000100101101001010 明文2：10100101101101100100111101011000
密文1：11110101111100100101001010110110 密文2:11100001100010100100011011000100
******************************************************************************
明文1：10101010100010001000000101011100 明文2：10101110100110001000010101001110
密文1：01100011000011010000010110101010 密文2:01110111010101110001000111011000
******************************************************************************
明文1：11110101101001011011111000111001 明文2：11110001101111111011101000100001
密文1：11100001011011101110011111100010 密文2:11110101000111001111001110011000
******************************************************************************
明文1：01001001110011001110010100000001 明文2：01001101110111101110000100010011
密文1：00011100110101001111110100001101 密文2:00001000101011101110100101010101
******************************************************************************
明文1：01110110011001011101011100011100 明文2：01110010011111011101001100000110
密文1：11010110100111000011101011111111 密文2:11000010110001000010111010001111
******************************************************************************
明文1：11110100111111101101010000000101 明文2：11110000111001101101000000011101
密文1：10001010101010011110011101110000 密文2:10011110110110111111001100101000
******************************************************************************
明文1：10000101001111000010000100111000 明文2：10000001001011100010010100101010
密文1：10011011111010100111001001101101 密文2:10001111100100100110011000110111
******************************************************************************
明文1：01111001010100011011100010111110 明文2：01111101010010111011110010100110
密文1：00110100000010001011100011111011 密文2:00100000010110001010110010100011
******************************************************************************
明文1：01000101100000111110011011100110 明文2：01000001100100011110001011110110
密文1：01110001000111101001111110110011 密文2:01100101010011001000101111001001
******************************************************************************
明文1：11101011001111101110000100111101 明文2：11101111001011001110010100101111
密文1：11011111101110011001100010100100 密文2:11001011111010011000110011011110
******************************************************************************
明文1：11000001111011000010101100000011 明文2：11000101111111100010111100010001
